id,cuisine_name,cuisine_id
18432226, American,1627
18432226, Bakery,9038
18432226, Desserts,9864
606,Cafe,8484
6690,Cafe,8484
312301,Cafe,8484
18412860,Cafe,8484
18412860, Tea,8767
18472606,Cafe,8484
18472606, Burger,3134
18472606, Pizza,9082
18265365,Cafe,8484
18265365, Fast Food,7819
18313132,Cafe,8484
18138430,Cafe,8484
18138430, Italian,3914
18138430, Bakery,9038
304192,Cafe,8484
304192, Bakery,9038
304192, Desserts,9864
18264717,Cafe,8484
18264717, Fast Food,7819
305687,Cafe,8484
305687, Tea,8767
17977796,Cafe,8484
18421938,Cafe,8484
18294576,Cafe,8484
18294576, Fast Food,7819
18294576, Street Food,8031
18337882,Cafe,8484
18358175,Cafe,8484
18313136,Cafe,8484
18322638,Cafe,8484
18322638, Fast Food,7819
18398506,Cafe,8484
18398506, Chinese,1982
18398506, North Indian,6088
609,Cafe,8484
18336204,Cafe,8484
18336204, Italian,3914
18336204, Continental,3876
18336204, Chinese,1982
312214,Cafe,8484
306688,Cafe,8484
302132,Cafe,8484
4882,Cafe,8484
18382363,Cafe,8484
18382363, Italian,3914
18382363, North Indian,6088
309111,Cafe,8484
18198836,Cafe,8484
18198836, Italian,3914
18198836, Continental,3876
18198836, Desserts,9864
18311928,Cafe,8484
18311928, Italian,3914
18311928, Continental,3876
18311928, Asian,9386
18311928, Healthy Food,5129
302535,Cafe,8484
302535, Italian,3914
302535, Continental,3876
302535, Fast Food,7819
18345747,Cafe,8484
18345747, Fast Food,7819
301392,Cafe,8484
18430590,Cafe,8484
18430590, Tea,8767
18332077,Cafe,8484
18332077, Fast Food,7819
523,Cafe,8484
18383444,Cafe,8484
3740,Cafe,8484
3740, Italian,3914
3740, Continental,3876
3740, Chinese,1982
18289074,Cafe,8484
791,Cafe,8484
18233620,Cafe,8484
18233620, Tea,8767
18233617,Cafe,8484
18233617, Tea,8767
7869,Cafe,8484
4530,Cafe,8484
5598,Cafe,8484
18243997,Cafe,8484
18243997, Italian,3914
18243997, Chinese,1982
18440751,Cafe,8484
18440751, Bakery,9038
18454463,Cafe,8484
18454463, Chinese,1982
18454463, North Indian,6088
304727,Cafe,8484
9313,Cafe,8484
501,Cafe,8484
510,Cafe,8484
18469955,Cafe,8484
5698,Cafe,8484
18285723,Cafe,8484
307703,Cafe,8484
307703, Tea,8767
18358190,Cafe,8484
528,Cafe,8484
5848,Cafe,8484
305272,Cafe,8484
598,Cafe,8484
18354645,Cafe,8484
18354645, Tea,8767
307532,Cafe,8484
785,Cafe,8484
311593,Cafe,8484
18358171,Cafe,8484
312592,Cafe,8484
18357570,Cafe,8484
18357570, Chinese,1982
18357570, Fast Food,7819
18473378,Cafe,8484
18473378, Italian,3914
18473378, Chinese,1982
307065,Cafe,8484
307065, Italian,3914
307065, Continental,3876
307065, Fast Food,7819
18469972,Cafe,8484
308963,Cafe,8484
6013,Cafe,8484
8153,Cafe,8484
8153, Chinese,1982
8153, Fast Food,7819
18250288,Cafe,8484
18250288, Italian,3914
18250288, Continental,3876
18250288, Mexican,7313
18270895,Cafe,8484
18270895, Italian,3914
18270895, American,1627
18270895, Thai,5705
18270895, Mexican,7313
9650,Cafe,8484
18421965,Cafe,8484
18421965, Continental,3876
18421965, Chinese,1982
18421965, North Indian,6088
18303717,Cafe,8484
18472625,Cafe,8484
18367316,Cafe,8484
18367316, Chinese,1982
18433879,Cafe,8484
18433852,Cafe,8484
18463990,Cafe,8484
18369105,Cafe,8484
18369105, Italian,3914
18369105, Salad,2986
18217857,Cafe,8484
18217857, Desserts,9864
18400530,Cafe,8484
18400530, Coffee and Tea,4712
18400530, Western,1169
16607969,Cafe,8484
16607969, Australian,8709
17842104,Cafe,8484
301793,Cafe,8484
18161610,Cafe,8484
306503,Cafe,8484
306503, Italian,3914
306503, Fast Food,7819
4915,Cafe,8484
4915, Continental,3876
18435287,Cafe,8484
18435287, Tea,8767
18371396,Cafe,8484
525,Cafe,8484
18175255,Cafe,8484
18415352,Cafe,8484
301581,Cafe,8484
18337885,Cafe,8484
3546,Cafe,8484
18312585,Cafe,8484
18380155,Cafe,8484
18380155, Continental,3876
18380155, Lebanese,2805
18380155, North Indian,6088
9620,Cafe,8484
18486842,Cafe,8484
18485936,Cafe,8484
18485936, French,8983
8621,Cafe,8484
8621, Italian,3914
8621, Continental,3876
8621, Mediterranean,3456
8621, Lebanese,2805
18144466,Cafe,8484
18289247,Cafe,8484
18289247, European,2075
637,Cafe,8484
306016,Cafe,8484
305547,Cafe,8484
308336,Cafe,8484
18421038,Cafe,8484
628,Cafe,8484
304107,Cafe,8484
18303834,Cafe,8484
18372705,Cafe,8484
18372705, Italian,3914
18372705, Continental,3876
18372705, North Indian,6088
18418358,Cafe,8484
18418358, Italian,3914
18418358, Continental,3876
18418358, Mexican,7313
18424602,Cafe,8484
601,Cafe,8484
7582,Cafe,8484
7761,Cafe,8484
308246,Cafe,8484
308246, Italian,3914
308246, American,1627
308246, Chinese,1982
308246, North Indian,6088
311353,Cafe,8484
18237314,Cafe,8484
18237314, Tea,8767
2688,Cafe,8484
613,Cafe,8484
18237315,Cafe,8484
18237315, Tea,8767
4365,Cafe,8484
300581,Cafe,8484
300577,Cafe,8484
18486847,Cafe,8484
18481209,Cafe,8484
18481209, North Eastern,1529
307535,Cafe,8484
304152,Cafe,8484
18354666,Cafe,8484
18354666, Italian,3914
18317483,Cafe,8484
18466971,Cafe,8484
9014,Cafe,8484
18400732,Cafe,8484
18400732, Chinese,1982
18400732, North Indian,6088
306407,Cafe,8484
306407, Italian,3914
306407, Continental,3876
18375397,Cafe,8484
18375397, Italian,3914
18375397, Fast Food,7819
18427234,Cafe,8484
18427234, Italian,3914
18427234, Chinese,1982
18499482,Cafe,8484
18499482, Continental,3876
18499482, Chinese,1982
18161577,Cafe,8484
18161577, Italian,3914
18161577, Continental,3876
18161577, Chinese,1982
301700,Cafe,8484
301700, Italian,3914
301700, Fast Food,7819
18349733,Cafe,8484
18349733, Italian,3914
18349733, Continental,3876
18349733, Chinese,1982
18349733, Desserts,9864
18349733, Beverages,1848
312492,Cafe,8484
18203185,Cafe,8484
6265,Cafe,8484
6191,Cafe,8484
18494989,Cafe,8484
18494989, Beverages,1848
18377924,Cafe,8484
18377924, Bakery,9038
18312595,Cafe,8484
533,Cafe,8484
305251,Cafe,8484
5590,Cafe,8484
18350118,Cafe,8484
18350118, Continental,3876
5594,Cafe,8484
18336207,Cafe,8484
308069,Cafe,8484
18258777,Cafe,8484
18258777, Continental,3876
18420433,Cafe,8484
5595,Cafe,8484
18369780,Cafe,8484
18369780, Italian,3914
18369780, North Indian,6088
18369780, Asian,9386
18261149,Cafe,8484
18261149, Bakery,9038
18261149, North Indian,6088
18261149, South Indian,3964
18322647,Cafe,8484
18322647, Chinese,1982
18322647, North Indian,6088
18124355,Cafe,8484
18124355, Italian,3914
18430898,Cafe,8484
7077,Cafe,8484
631,Cafe,8484
18458663,Cafe,8484
308570,Cafe,8484
308570, Italian,3914
308570, Pizza,9082
