id,name,location.address,location.locality,location.city,location.city_id,location.latitude,location.longitude,location.zipcode,location.country_id,location.locality_verbose,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,user_rating.aggregate_rating,user_rating.rating_text,user_rating.rating_color,user_rating.votes,has_online_delivery,is_delivering_now,has_table_booking
16605794,Funkey Monkey,"26 Myer street, Lakes Entrance, VIC",Lakes Entrance,Lakes Entrance,1364,-37.8783865,147.9942247,3909,14,"Lakes Entrance, Lakes Entrance",0,"Breakfast, Coffee and Tea",7,1,$,3.8,Good,9ACD32,97,0,0,0
16604358,Blue Bean Love Cafe,"115 Main Rd, Hepburn Springs, Hepburn Springs, VIC",Hepburn Springs,Hepburn Springs,1563,-37.3123267,144.1387014,3461,14,"Hepburn Springs, Hepburn Springs",0,"Cafe, Coffee and Tea, Modern Australian",20,2,$,3.8,Good,9ACD32,192,0,0,0
17534788,The Artesian Restaurant,"Ojo Caliente Mineral Springs Resort And Spa 50 Los Banos Rd, Ojo Caliente, NM 87549",Ojo Caliente,Ojo Caliente,7598,36.313638,-106.057666,87549,216,"Ojo Caliente, Ojo Caliente",0,"American, International, Southwestern",40,3,$,3.6,Good,9ACD32,30,0,0,0
16606299,Beach Box Cafe,"6a Ramsay Blvd, Inverloch, VIC",Inverloch,Inverloch,1342,-38.6347458,145.7287133,3996,14,"Inverloch, Inverloch",0,"Burger, Coffee and Tea, Modern Australian",7,1,$,3.7,Good,9ACD32,100,0,0,0
16654702,Lake House Restaurant,"3100 N Service Rd, Vineland Station, ON L0R2E0",Vineland Station,Vineland Station,3418,43.1868697,-79.3791465,L0R2E0,37,"Vineland Station, Vineland Station",0,"Italian, Mediterranean, Pizza",70,4,$,4.3,Very Good,5BA829,204,0,0,0
17694056,Theo Yianni's Authentic Greek Restaurant,"322 American Way, Weirton, WV 26062",Weirton,Weirton,10358,40.396043,-80.529488,26062,216,"Weirton, Weirton",0,"Burger, Greek, Sandwich",25,2,$,3.9,Good,9ACD32,156,0,0,0
3700050,Baker Street,"123, Bussy Street, MG Road, Puducherry",MG Road,Puducherry,37,11.929275,79.829584,,1,"MG Road, Puducherry",0,"Bakery, French",400,2,Rs.,4.1,Very Good,5BA829,791,0,0,0
17629582,Barrett Junction Cafe,"1020 Barrett Lake Rd, Dulzura, CA 91917",Potrero,Potrero,8956,32.613431,-116.704731,91917,216,"Potrero, Potrero",0,"American, BBQ, Burger",25,2,$,3.3,Average,CDD614,9,0,0,0
18366580,Sakura Sushi & Grill,"130 Quarry Street, Unit 20, Cochrane, AB T4C 0W5",Cochrane,Cochrane,10261,51.183934,-114.472474,T4C 0W5,216,"Cochrane, Cochrane",0,"Asian, Japanese",25,2,$,3.1,Average,CDD614,6,0,0,0
17211719,Blue Point Grill,"258 Nassau St, Princeton, NJ 08542",Princeton,Princeton,3977,40.352385,-74.651139,08542,216,"Princeton, Princeton",0,Seafood,70,4,$,4.0,Very Good,5BA829,542,0,0,0
9417,The Mad Teapot/The Wishing Chair,"86-A, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5493213,77.2143783,0,1,"Shahpur Jat, New Delhi",0,"Cafe, Bakery, Italian",1000,3,Rs.,4.1,Very Good,5BA829,251,0,0,1
18244555,Asia Central,"Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5490245,77.2136148,,1,"Shahpur Jat, New Delhi",0,"Asian, Chinese, Thai, Vietnamese",1000,3,Rs.,4.2,Very Good,5BA829,264,1,0,0
18222566,The Groghead,"A-5, 2nd Floor, Above Hyundai Showroom, Green Park, New Delhi",Green Park,New Delhi,1,28.5557195,77.2057995,110016,1,"Green Park, New Delhi",0,"Italian, North Indian",1700,3,Rs.,3.4,Average,CDD614,267,0,0,1
303723,Cafe Red,"5-G, Dada Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5491821,77.212447,,1,"Shahpur Jat, New Delhi",0,Cafe,1100,3,Rs.,3.6,Good,9ACD32,260,1,0,1
18291469,Puppychino,"3rd Floor, 119, Shishan Bhawan, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5492042,77.2155012,110049,1,"Shahpur Jat, New Delhi",0,"Cafe, Continental, Italian",1000,3,Rs.,4.4,Very Good,5BA829,165,1,0,0
773,Slice of Italy,"118, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5495159,77.2159503,0,1,"Shahpur Jat, New Delhi",0,"Italian, Pizza, Bakery",700,2,Rs.,2.6,Average,FFBA00,274,1,0,1
18282047,Arriba - Mexican Grill & Tequileria,"The Village Restaurant Complex, Asiad Village, Khel Gaon Marg, New Delhi","The Village Restaurant Complex, Khel Gaon Marg",New Delhi,1,28.55231,77.2129742,110049,1,"The Village Restaurant Complex, Khel Gaon Marg, New Delhi",0,Mexican,2500,4,Rs.,4.1,Very Good,5BA829,146,0,0,1
743,Daitchi,"E-19-A, Main Market, South Extension 2, New Delhi",South Extension 2,New Delhi,1,28.5680075,77.2199924,0,1,"South Extension 2, New Delhi",0,"Chinese, Japanese",1100,3,Rs.,3.5,Good,9ACD32,273,0,0,0
7759,Cake Palace,"E-6, Main Market, South Extension 2, New Delhi",South Extension 2,New Delhi,1,28.5677197,77.221205,0,1,"South Extension 2, New Delhi",0,"Bakery, Fast Food",250,1,Rs.,3.8,Good,9ACD32,160,0,0,0
311483,Le ROFL,"Shop 113, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5492425,77.2149622,110047,1,"Shahpur Jat, New Delhi",0,"Cafe, Continental, Chinese, Italian",1200,3,Rs.,3.8,Good,9ACD32,177,1,0,1
18180080,Greenr Cafe,"416, Gora Street, Behind Dada Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.548542,77.2132555,,1,"Shahpur Jat, New Delhi",0,Cafe,1100,3,Rs.,4.6,Excellent,3F7E00,112,1,0,0
18421026,Hearken Café,"5th Floor, 119- Sishan House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5492447,77.2154563,110049,1,"Shahpur Jat, New Delhi",0,Cafe,900,2,Rs.,4.0,Very Good,5BA829,55,1,0,0
18322609,Remember Me Café,"JP House, 1st Floor, 118, Near Asain Games Village, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5498307,77.2155653,110049,1,"Shahpur Jat, New Delhi",0,"Cafe, Continental, Italian, Mexican",1000,3,Rs.,4.0,Very Good,5BA829,134,1,0,1
18332063,The Society Cafe,"D-15, South Extension 2, New Delhi",South Extension 2,New Delhi,1,28.5684463,77.2174933,,1,"South Extension 2, New Delhi",0,"Cafe, Italian",800,2,Rs.,4.1,Very Good,5BA829,149,1,0,0
65,Drums of Heaven,"S-14, Green Park Extension, Green Park, New Delhi",Green Park,New Delhi,1,28.5580181,77.2059342,0,1,"Green Park, New Delhi",0,"Chinese, Seafood, Thai",1800,3,Rs.,3.5,Good,9ACD32,234,1,0,1
18216942,Big Wong,"28, Shopping Complex, Panchsheel Park, New Delhi",Panchsheel Park,New Delhi,1,28.5480806,77.2112423,,1,"Panchsheel Park, New Delhi",0,"Chinese, Thai",900,2,Rs.,4.3,Very Good,5BA829,108,1,0,0
483,Moti Mahal Delux- Legendary Culinary,"E-31/32, South Extension 2, New Delhi",South Extension 2,New Delhi,1,28.5682336,77.2195433,0,1,"South Extension 2, New Delhi",0,"North Indian, Mughlai, Chinese",1500,3,Rs.,3.6,Good,9ACD32,177,1,0,1
18163906,Cafe 5H By The Kitchen Connect,"5-H, 1st Floor, Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,1,28.5492078,77.2127165,110049,1,"Shahpur Jat, New Delhi",0,"Cafe, Continental, Italian",700,2,Rs.,4.0,Very Good,5BA829,88,1,0,0
192,McDonald's,"E-31/32, South Extension 2, New Delhi",South Extension 2,New Delhi,1,28.5684461,77.2191601,0,1,"South Extension 2, New Delhi",0,"Fast Food, Burger",500,2,Rs.,3.6,Good,9ACD32,167,1,0,0
1675,Qureshi's Kabab Corner,"E-27, Main Market, South Extension 2, New Delhi",South Extension 2,New Delhi,1,28.5677663906,77.219000794,0,1,"South Extension 2, New Delhi",0,"North Indian, Mughlai",650,2,Rs.,3.6,Good,9ACD32,215,0,0,0
313256,The Junkyard Cafe,"91, 2nd Floor, N Block, Connaught Place, New Delhi",Connaught Place,New Delhi,1,28.6303196,77.2207923,,1,"Connaught Place, New Delhi",0,"North Indian, Mediterranean, Asian",1500,3,Rs.,3.9,Good,9ACD32,1545,0,0,1
18237321,Echoes Satyaniketan,"17, 1st Floor, Opposite Sri Venkateshwara College, Satyaniketan, New Delhi",Satyaniketan,New Delhi,1,28.5876087,77.1671645,,1,"Satyaniketan, New Delhi",0,"Cafe, Continental, Italian, Mexican, Chinese, American",600,2,Rs.,4.7,Excellent,3F7E00,1563,0,0,0
309859,Pebble Street,"61-62, N Block, Outer Circle, Connaught Place, New Delhi",Connaught Place,New Delhi,1,28.6302434,77.2204415,,1,"Connaught Place, New Delhi",0,"Italian, Mexican, Continental, North Indian, Finger Food",1800,3,Rs.,4.0,Very Good,5BA829,817,1,0,1
302878,Cha Bar,"N-81, Oxford Bookstore, Connaught Place, New Delhi",Connaught Place,New Delhi,1,28.6312233267,77.2221587598,,1,"Connaught Place, New Delhi",0,Cafe,500,2,Rs.,3.9,Good,9ACD32,3206,0,0,0
8241,7 Degrees Brauhaus,"310 & 311, 3rd Floor, DLF South Point Mall, Golf Course Road, Gurgaon","DLF South Point Mall, Golf Course Road",Gurgaon,1,28.448173,77.0992983,0,1,"DLF South Point Mall, Golf Course Road, Gurgaon",0,"Continental, North Indian, European, Finger Food",3200,4,Rs.,4.2,Very Good,5BA829,1193,0,0,1
304262,Ricos,"2526, 1st Floor, Hudson Lane, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,New Delhi,1,28.6948159,77.2041921,,1,"Delhi University-GTB Nagar, New Delhi",0,"Cafe, Mexican, American, Italian, Lebanese, Continental",900,2,Rs.,4.3,Very Good,5BA829,4085,0,0,0
1188,Lodi - The Garden Restaurant,"Opposite Mausam Bhawan, Near Gate 1, Lodhi Road, New Delhi",Lodhi Road,New Delhi,1,28.5904431,77.2210583,0,1,"Lodhi Road, New Delhi",0,"European, Lebanese, Mediterranean",2600,4,Rs.,4.2,Very Good,5BA829,2549,1,0,1
305525,Cafe Lota,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",Pragati Maidan,New Delhi,1,28.6131676,77.2419091,,1,"Pragati Maidan, New Delhi",0,"North Indian, South Indian, Bihari",1200,3,Rs.,4.5,Excellent,3F7E00,2213,0,0,0
18057792,Imly,"Shop F-20, Hog Market, Rajendra Place, New Delhi",Rajendra Place,New Delhi,1,28.6446732,77.1784871,,1,"Rajendra Place, New Delhi",0,"Street Food, North Indian, Chinese, Continental",700,2,Rs.,3.9,Good,9ACD32,1485,0,0,0
307036,Excuse Me Boss,"F-14/15, Middle Circle, Connaught Place, New Delhi",Connaught Place,New Delhi,1,28.6309539,77.2208457,,1,"Connaught Place, New Delhi",0,"Continental, North Indian, Chinese, Mediterranean",1800,3,Rs.,4.1,Very Good,5BA829,799,0,0,1
18395381,The Sky High,"C-306 A & 307, T-101 & 102, 3rd Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg",New Delhi,1,28.5622825,77.2243747,,1,"Ansal Plaza Mall, Khel Gaon Marg, New Delhi",0,"Continental, North Indian, Mughlai, Italian",1400,3,Rs.,4.1,Very Good,5BA829,387,0,0,0
18157384,Jungle Jamboree,"P-17/90, Outer Circle, Connaught Place, New Delhi",Connaught Place,New Delhi,1,28.6324794,77.2161749,,1,"Connaught Place, New Delhi",0,"North Indian, Continental, Chinese, Italian, Thai, Mughlai",1200,3,Rs.,3.8,Good,9ACD32,1174,0,0,1
4959,Downtown - Diners & Living Beer Cafe,"SCO 34, Main Market, Sector 29, Gurgaon",Sector 29,Gurgaon,1,28.4683279,77.0631922,0,1,"Sector 29, Gurgaon",0,"North Indian, Chinese, Italian, Continental",1800,3,Rs.,4.4,Very Good,5BA829,3569,0,0,0
18429148,Pa Pa Ya,"Dome, Level 4, Select Citywalk, A-3, District Centre, Saket, New Delhi","Select Citywalk Mall, Saket",New Delhi,1,28.5284564082,77.2186983749,,1,"Select Citywalk Mall, Saket, New Delhi",0,"Asian, Chinese, Thai, Japanese",2000,4,Rs.,4.7,Excellent,3F7E00,268,0,0,0
463,Karim's,"16, Gali Kababian, Jama Masjid, New Delhi",Jama Masjid,New Delhi,1,28.6493933,77.23363,0,1,"Jama Masjid, New Delhi",0,"Mughlai, North Indian",800,2,Rs.,4.0,Very Good,5BA829,4689,0,0,0
18289242,Cyber Hub Social,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,1,28.4939356,77.088508,,1,"Cyber Hub, DLF Cyber City, Gurgaon",0,"Continental, American, Asian, North Indian",1500,3,Rs.,4.3,Very Good,5BA829,716,1,0,1
799,Gulati,"6, Pandara Road Market, New Delhi",Pandara Road Market,New Delhi,1,28.6081402,77.229733,0,1,"Pandara Road Market, New Delhi",0,"North Indian, Mughlai",1500,3,Rs.,4.4,Very Good,5BA829,4373,1,0,0
301998,Punjab Grill,"Pacific Mall, Tagore Garden, New Delhi",Tagore Garden,New Delhi,1,28.6422159,77.1065034,,1,"Tagore Garden, New Delhi",0,North Indian,1600,3,Rs.,4.3,Very Good,5BA829,1252,1,0,1
307113,Diggin,"Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi",Anand Lok,New Delhi,1,28.5556355,77.2194983,,1,"Anand Lok, New Delhi",0,"Italian, Continental, Cafe",1400,3,Rs.,4.2,Very Good,5BA829,2131,1,0,1
18345728,Masala Library,"21 A, Janpath, New Delhi",Janpath,New Delhi,1,28.6182446,77.2186451,,1,"Janpath, New Delhi",0,Modern Indian,5000,4,Rs.,4.9,Excellent,3F7E00,408,0,0,0
18126111,Cafe Delhi Heights,"Shop 1-2, Ground Floor, Sangam Courtyard, R K Puram, New Delhi","Sangam Courtyard, RK Puram",New Delhi,1,28.571681,77.1734996,,1,"Sangam Courtyard, RK Puram, New Delhi",0,"Continental, American, Italian, Seafood, North Indian, Cafe",2000,4,Rs.,4.0,Very Good,5BA829,304,0,0,1
18144458,Ziu,"Sangam Courtyard, Major Somnath Marg, R K Puram, New Delhi","Sangam Courtyard, RK Puram",New Delhi,1,28.5724323,77.1738591,,1,"Sangam Courtyard, RK Puram, New Delhi",0,Thai,1500,3,Rs.,4.1,Very Good,5BA829,259,0,0,0
300408,Haldiram's,"DLF South Square, Sarojini Nagar, New Delhi","DLF South Square, Sarojini Nagar",New Delhi,1,28.5763982,77.1951986,0,1,"DLF South Square, Sarojini Nagar, New Delhi",0,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",300,1,Rs.,3.6,Good,9ACD32,195,0,0,0
17953911,Hornbill,"104/A, Basement Backside NCC Gate, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5609865948,77.1930232644,,1,"Safdarjung, New Delhi",0,Naga,400,1,Rs.,4.0,Very Good,5BA829,149,0,0,0
307618,Khandani Pakodewala,"Ring Road Market, Nauroji Nagar, Near Sarojini Nagar, New Delhi",Sarojini Nagar,New Delhi,1,28.5697323,77.1937667,,1,"Sarojini Nagar, New Delhi",0,Street Food,100,1,Rs.,3.7,Good,9ACD32,223,0,0,0
18337779,Kori's,"R-62/1, Humayunpur, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5626822991,77.1936723813,110029,1,"Safdarjung, New Delhi",0,"Cafe, Korean",600,2,Rs.,3.6,Good,9ACD32,110,1,0,0
18396054,Cafe Hashtag LoL,"AB-11, DDA Market, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5660879724,77.1986951306,,1,"Safdarjung, New Delhi",0,"Cafe, North Indian, Chinese",1200,3,Rs.,4.2,Very Good,5BA829,49,0,0,1
307464,Mizo Diner,"85, Humayunpur, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5619913419,77.1926246211,,1,"Safdarjung, New Delhi",0,"North Indian, Tibetan",600,2,Rs.,3.7,Good,9ACD32,154,0,0,0
304187,Yo Tibet,"119-A, Upper Ground Floor, Near NCC Gate, Humanyunpur Village, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.560922988,77.1937880293,,1,"Safdarjung, New Delhi",0,"Chinese, Tibetan, Fast Food",500,2,Rs.,3.3,Average,CDD614,150,0,0,0
9565,Flavours of Tibet,"70-D, 1st Floor, Humayunpur Chowk, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5617734316,77.1939399093,0,1,"Safdarjung, New Delhi",0,"Tibetan, Chinese",500,2,Rs.,3.3,Average,CDD614,141,1,0,0
306535,Kulcha King,"Shop 144, Ring Road Market, Sarojini Nagar, New Delhi",Sarojini Nagar,New Delhi,1,28.5697787,77.1940263,,1,"Sarojini Nagar, New Delhi",0,Street Food,200,1,Rs.,3.8,Good,9ACD32,168,1,0,0
313061,Starbucks,"Sangam Courtyard, Major Somnath Marg, R K Puram, New Delhi","Sangam Courtyard, RK Puram",New Delhi,1,28.5724323,77.1738591,,1,"Sangam Courtyard, RK Puram, New Delhi",0,Cafe,700,2,Rs.,3.7,Good,9ACD32,74,0,0,0
306291,Nazeer Delicacies,"K-28, Kashmiri Market, Vivekanand Marg, R K Puram, New Delhi",R K Puram,New Delhi,1,28.5650684,77.1807331,,1,"R K Puram, New Delhi",0,"North Indian, Mughlai",650,2,Rs.,3.3,Average,CDD614,163,1,0,0
8853,Mathew's Cafe,"Outside Tamil Sangam, Tamil Sangam Marg, R K Puram, New Delhi",R K Puram,New Delhi,1,28.5647542,77.1778359,0,1,"R K Puram, New Delhi",0,South Indian,200,1,Rs.,3.7,Good,9ACD32,148,0,0,0
308544,Flaming Wok,"Shop 104, 1st Floor, DLF South Square, Sarojini Nagar, New Delhi","DLF South Square, Sarojini Nagar",New Delhi,1,28.5762189,77.1951986,,1,"DLF South Square, Sarojini Nagar, New Delhi",0,"Chinese, Seafood",1500,3,Rs.,2.7,Average,FFBA00,112,1,0,1
9657,McDonald's,"34, 102B, 109 & 110, Ground/1st Floor, Multilevel Parking Cum Commercial Complex (MLCP), DLF South Square, Sarojini Nagar, New Delhi","DLF South Square, Sarojini Nagar",New Delhi,1,28.576014,77.194929,0,1,"DLF South Square, Sarojini Nagar, New Delhi",0,"Fast Food, Burger",500,2,Rs.,3.5,Good,9ACD32,100,1,0,0
300283,Freedom Corner,"C-119, Humayun Pur, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5607854675,77.193650566,0,1,"Safdarjung, New Delhi",0,"Chinese, Tibetan",600,2,Rs.,3.5,Good,9ACD32,123,1,0,0
310942,Cafe Rock 'n' Rolla,"Shop 5 & 6, DDA Market, Arjun Nagar, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,New Delhi,1,28.5617130644,77.1960320324,,1,"Safdarjung, New Delhi",0,"Fast Food, American, Italian",600,2,Rs.,3.6,Good,9ACD32,103,1,0,0
1859,Khalsa Restaurant,"10, Sector 1 Market, R K Puram, New Delhi",R K Puram,New Delhi,1,28.5643243,77.1818562,0,1,"R K Puram, New Delhi",0,North Indian,600,2,Rs.,2.9,Average,FFBA00,102,1,0,0
307167,Subway,"107 & 108, 1st Floor, DLF South Square, Multilevel Parking Complex, Sarojini Nagar, New Delhi","DLF South Square, Sarojini Nagar",New Delhi,1,28.5762189,77.1951986,,1,"DLF South Square, Sarojini Nagar, New Delhi",0,"American, Fast Food, Salad, Healthy Food",500,2,Rs.,2.4,Poor,FF7800,65,1,0,0
4910,Le Cirque - The Leela Palace,"The Leela Palace, Diplomatic Enclave, Chanakyapuri, New Delhi","The Leela Palace, Chanakyapuri",New Delhi,1,28.5793901,77.1889752,0,1,"The Leela Palace, Chanakyapuri, New Delhi",0,"French, Italian",5000,4,Rs.,3.8,Good,9ACD32,199,0,0,1
6003,Jakoi,"1, Assam Bhavan, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.6055182,77.1876516,0,1,"Chanakyapuri, New Delhi",0,"Assamese, Chinese",600,2,Rs.,3.5,Good,9ACD32,218,0,0,0
309548,Tian - Asian Cuisine Studio - ITC Maurya,"ITC Maurya, Diplomatic Enclave, Chanakyapuri, New Delhi","ITC Maurya, Chanakyapuri",New Delhi,1,28.5973505,77.1734547,,1,"ITC Maurya, Chanakyapuri, New Delhi",0,"Asian, Japanese, Korean, Thai, Chinese",7000,4,Rs.,4.1,Very Good,5BA829,188,0,0,0
4917,Jamavar - The Leela Palace,"The Leela Palace, Diplomatic Enclave, Chanakyapuri, New Delhi","The Leela Palace, Chanakyapuri",New Delhi,1,28.5794095,77.1889269,0,1,"The Leela Palace, Chanakyapuri, New Delhi",0,"North Indian, Mughlai",4000,4,Rs.,3.9,Good,9ACD32,241,0,0,1
6812,MEGU - The Leela Palace,"The Leela Palace, Diplomatic Enclave, Chanakyapuri, New Delhi","The Leela Palace, Chanakyapuri",New Delhi,1,28.5794009,77.1889651,0,1,"The Leela Palace, Chanakyapuri, New Delhi",0,"Japanese, Sushi",5500,4,Rs.,3.9,Good,9ACD32,178,0,0,1
301102,Gujarat Bhawan Restaurant,"11, Kautilya Marg, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.5985428,77.1971751,,1,"Chanakyapuri, New Delhi",0,"Gujarati, South Indian, North Indian",400,1,Rs.,3.7,Good,9ACD32,203,0,0,0
4055,Bikanervala,"Satya Marg, Yashwant Place Market, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.5851618,77.1912454,0,1,"Chanakyapuri, New Delhi",0,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",450,1,Rs.,3.4,Average,CDD614,113,0,0,0
851,Tamil Nadu House Canteen,"Opposite Chanakya Theatre, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.5830663,77.1908861,0,1,"Chanakyapuri, New Delhi",0,"South Indian, Chettinad, North Indian, Chinese",600,2,Rs.,3.4,Average,CDD614,161,0,0,0
824,Chimney Sizzlers,"V-10 & 16, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.5842999,77.1916048,0,1,"Chanakyapuri, New Delhi",0,Chinese,800,2,Rs.,3.7,Good,9ACD32,137,1,0,1
2701,Orient Express - Taj Palace Hotel,"Taj Palace Hotel, Diplomatic Enclave, Chanakyapuri, New Delhi","The Taj Palace Hotel, Chanakyapuri",New Delhi,1,28.5950077,77.170087,0,1,"The Taj Palace Hotel, Chanakyapuri, New Delhi",0,European,8000,4,Rs.,4.0,Very Good,5BA829,145,0,0,1
815,Moti Mahal Delux,"20/48, Malcha Marg Shopping Complex, Diplomatic Enclave, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.6016137,77.1871125,0,1,"Chanakyapuri, New Delhi",0,"North Indian, Mughlai",1600,3,Rs.,2.4,Poor,FF7800,164,0,0,1
18400770,Capital Kitchen - Taj Palace Hotel,"Taj Palace Hotel, Diplomatic Enclave, Chanakyapuri, New Delhi","The Taj Palace Hotel, Chanakyapuri",New Delhi,1,28.5950782,77.1701408,,1,"The Taj Palace Hotel, Chanakyapuri, New Delhi",0,"North Indian, European, Asian",2000,4,Rs.,3.7,Good,9ACD32,42,0,0,1
305296,The Treat,"Behind Jesus & Mary College, Rizal Marg, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.5928569,77.178936,,1,"Chanakyapuri, New Delhi",0,"North Indian, Mughlai, Chinese",500,2,Rs.,2.1,Poor,FF7800,138,0,0,0
1898,Frontier - The Ashok,"The Ashok, 50-B, Diplomatic Enclave, Chanakyapuri, New Delhi","The Ashok, Chanakyapuri",New Delhi,1,28.5966943,77.1956478,0,1,"The Ashok, Chanakyapuri, New Delhi",0,"North Indian, Mughlai",3600,4,Rs.,3.7,Good,9ACD32,101,0,0,1
1900,The Oudh - The Ashok,"The Ashok, 50-B, Diplomatic Enclave, Chanakyapuri, New Delhi","The Ashok, Chanakyapuri",New Delhi,1,28.5963125,77.1958724,0,1,"The Ashok, Chanakyapuri, New Delhi",0,North Indian,3700,4,Rs.,3.6,Good,9ACD32,100,0,0,1
823,Al Kuresh,"7, Yashwant Place Market, Food Plaza, Chanakyapuri, New Delhi",Chanakyapuri,New Delhi,1,28.5841464,77.1918744,0,1,"Chanakyapuri, New Delhi",0,"Chinese, North Indian",850,2,Rs.,3.3,Average,CDD614,85,1,0,0
