id,name,switch_to_order_menu,average_cost_for_two,price_range,currency,aggregate_rating,votes,rating_id,services_id
18363787,The Culinary Pitaara,0,900,2,Rs.,4.2,95,932,360
573,4S Chinese Restaurant,0,700,2,Rs.,3.5,215,243,351
303215,Kulfiano,0,200,1,Rs.,4.0,169,932,360
302655,Arabian Delites,0,600,2,Rs.,3.6,146,243,360
18273615,The Chatter House,0,1800,3,Rs.,4.2,436,932,392
103,Veg Gulati,0,1200,3,Rs.,3.8,600,243,360
307822,La Vie,0,1400,3,Rs.,3.9,454,243,360
4296,L'Opera,0,400,1,Rs.,4.0,518,932,360
1901,Cafe Turtle,0,1000,3,Rs.,3.6,574,243,351
800,Chicken Inn,0,1500,3,Rs.,3.6,447,243,320
308337,La Bodega,0,1700,3,Rs.,3.6,505,243,320
803,Pindi,0,1700,3,Rs.,3.8,337,243,320
305686,Side Wok,0,2000,4,Rs.,3.9,372,243,320
18419910,Civil House,0,1700,3,Rs.,4.2,113,932,392
304989,Chokola,0,700,2,Rs.,3.8,391,243,360
307284,Harry's Bar + Cafe,0,1700,3,Rs.,3.7,395,243,392
310674,Cafe Illuminatii,0,2500,4,Rs.,3.6,300,243,320
462,Karim's,0,800,2,Rs.,3.7,360,243,320
312710,Mr. Choy,0,1200,3,Rs.,3.9,287,243,351
303599,Ghalib Kabab Corner,0,300,1,Rs.,3.9,251,243,351
307370,The Coffee Bean & Tea Leaf,0,700,2,Rs.,3.8,256,243,351
18255125,Public Affair,0,2100,4,Rs.,3.8,199,243,351
18082237,The Artful Baker,0,600,2,Rs.,4.0,220,932,351
2902,Kamal's,0,550,2,Rs.,3.7,286,243,351
4302,Mughals Rasoi,0,700,2,Rs.,3.2,38,975,360
7876,Kolkata Hot Kathi Roll,0,250,1,Rs.,2.7,21,975,351
312173,Zaaika Junction,0,500,2,Rs.,3.1,25,975,360
18358157,Kowloon Express,0,400,1,Rs.,3.4,17,975,360
18391937,Halka Fulka,0,400,1,Rs.,3.1,11,975,360
7884,Food Land,0,300,1,Rs.,3.2,16,975,360
920,Shiv Shakti Vaishno Bhojnalaya,0,500,2,Rs.,3.1,22,975,351
18266888,Delhi Rasoi,0,500,2,Rs.,3.3,19,975,351
9891,Al-Malik,0,600,2,Rs.,3.2,21,975,351
303625,Raju Vaishnav Dhaba,0,350,1,Rs.,3.2,19,975,351
7893,Cafe Coffee Day,0,450,1,Rs.,2.7,24,975,351
312605,Khan's Dilli-6 Biryani,0,500,2,Rs.,3.0,19,975,351
18381237,Spice Tree,0,400,1,Rs.,2.7,12,975,360
18419884,Test Restaruants for Medio,0,800,2,Rs.,0.0,1,916,392
7886,Naagar Foods,0,200,1,Rs.,3.1,17,975,351
18371426,Vadapav Junction,0,350,1,Rs.,3.2,14,975,360
18272344,LaDiDa,0,500,2,Rs.,3.2,14,975,351
9887,Bikaner Sweets,0,200,1,Rs.,2.8,13,975,351
7888,Hasty Tasty,0,300,1,Rs.,2.8,12,975,351
7897,Govinda's Confectionery,0,150,1,Rs.,3.1,12,975,351
181,McDonald's,0,500,2,Rs.,3.4,127,975,360
267,Pizza Hut Delivery,0,800,2,Rs.,3.9,189,243,360
927,Moksha,0,1400,3,Rs.,3.7,110,243,320
5325,Sampan - The Suryaa New Delhi,0,2500,4,Rs.,3.7,111,243,392
149,Subway,0,500,2,Rs.,1.9,146,737,360
18237363,Bao Cha,0,1000,3,Rs.,3.0,90,975,320
212,Domino's Pizza,0,700,2,Rs.,2.8,95,975,351
1324,Bon Bon Pastry Shop,0,150,1,Rs.,3.5,91,243,351
302945,Hotel Malabar,0,400,1,Rs.,3.6,129,243,351
1023,Open Oven,0,250,1,Rs.,3.4,109,975,351
9671,Shree Rathnam,0,800,2,Rs.,3.5,96,243,320
1508,Angels in my Kitchen,0,350,1,Rs.,3.2,88,975,360
908,Dawat Khana,0,1600,3,Rs.,2.5,82,975,320
312902,Club BW - The Suryaa New Delhi,0,4400,4,Rs.,3.6,90,243,351
18471283,Hwealthcafe,0,800,2,Rs.,3.5,29,243,360
18424893,Sushiya Express,0,800,2,Rs.,3.5,30,243,360
7873,Novelty Chicken Corner,0,650,2,Rs.,3.3,61,975,360
18037834,Ikreate,0,400,1,Rs.,3.1,9,975,351
306526,Tuptakes,0,350,1,Rs.,3.6,52,243,351
1530,Bhoj Restaurant,0,600,2,Rs.,2.8,54,975,351
18208912,Casa Asia,0,650,2,Rs.,3.8,306,243,360
18219545,Salad Days,0,800,2,Rs.,4.0,255,932,360
256,Pizza Hut,0,1000,3,Rs.,3.1,237,975,360
18128883,Yes Minister - Pub & Kitchen,0,1800,3,Rs.,3.7,234,243,392
3043,Shaolin,0,800,2,Rs.,3.4,217,975,360
18425159,Nariyal Cafe,0,1200,3,Rs.,4.2,46,932,392
309448,DCK- Dana Choga's Kitchen,0,800,2,Rs.,3.4,297,975,360
175,McDonald's,0,500,2,Rs.,3.6,219,243,360
311161,Litti.In,0,300,1,Rs.,4.0,308,932,360
310848,Beliram Degchiwala,0,900,2,Rs.,3.5,226,243,360
305871,Speedy Chow,0,850,2,Rs.,3.6,268,243,360
209,Domino's Pizza,0,700,2,Rs.,2.3,185,737,351
17977751,The Nest,0,2200,4,Rs.,3.5,218,243,392
582,Govardhan,0,500,2,Rs.,3.4,238,975,360
18233599,The Chocolate Room,0,850,2,Rs.,3.4,155,975,320
302381,Pind Balluchi,0,1300,3,Rs.,2.8,249,975,392
6200,Essex Village Garden,0,1500,3,Rs.,3.4,218,975,351
18446475,Dilli BC,0,700,2,Rs.,4.4,84,932,360
310312,Paapi Paet,0,550,2,Rs.,3.3,250,975,360
1406,Mehfil Dhaba,0,300,1,Rs.,3.4,214,975,351
18241531,Londoners,0,1700,3,Rs.,3.8,244,243,320
18312632,Pho King Awesome,0,850,2,Rs.,4.1,253,932,360
18271497,Dezertfox,0,550,2,Rs.,4.1,160,932,360
309820,Döner Grill,0,900,2,Rs.,3.7,323,243,360
18034050,Elation,0,1500,3,Rs.,3.8,227,243,320
1902,Cafe Turtle,0,1000,3,Rs.,3.5,251,243,351
300007,Side Wok,0,2000,4,Rs.,3.8,223,243,320
18363391,Depot48,0,1800,3,Rs.,4.2,107,932,320
18456764,Karate Kitchen,0,950,2,Rs.,4.4,42,932,360
18382342,Noshi - Yum Asian Delivery,0,1000,3,Rs.,4.2,111,932,360
1056,New Minar,0,1250,3,Rs.,3.6,229,243,392
303288,Starbucks,0,700,2,Rs.,3.5,187,243,351
3589,Mad Over Donuts,0,450,1,Rs.,3.8,187,243,360
311671,Captain Grub,0,1000,3,Rs.,3.7,263,243,360
18418209,Nimtho,0,750,2,Rs.,4.0,62,932,360
1215,Kebabs & Curries,0,600,2,Rs.,3.7,227,243,360
309156,Bread & More,0,500,2,Rs.,3.7,130,243,360
9834,Shikhara,0,800,2,Rs.,4.2,237,932,360
18279463,Hungry Pistals,0,700,2,Rs.,3.7,108,243,360
9840,Grills & Platters,0,1600,3,Rs.,3.5,150,243,392
18398571,The Chai Story,0,300,1,Rs.,3.6,42,243,351
1625,Gupta Ji Ka Dhaba,0,300,1,Rs.,2.6,49,975,360
18365388,Behrouz Biryani,0,600,2,Rs.,3.2,51,975,360
18268360,La Seine -The Chocolate Emporium,0,300,1,Rs.,3.8,25,243,360
312011,Baked Love By Vatsala,0,720,2,Rs.,3.6,38,243,351
308315,Twenty Ten - Ashtan Sarovar Portico,0,1000,3,Rs.,3.3,23,975,392
3468,Hot n Hot,0,450,1,Rs.,2.4,23,737,351
309322,Cakeatouille,0,800,2,Rs.,3.3,15,975,351
18337744,Keventers,0,250,1,Rs.,3.5,16,243,351
18432237,Ovenstory Pizza,0,500,2,Rs.,3.3,6,975,360
18414479,Faasos,0,600,2,Rs.,2.8,13,975,360
18355419,Nachos And Company,0,700,2,Rs.,3.4,14,975,351
18429154,Chilli Singh,0,800,2,Rs.,3.1,7,975,320
18334422,Baskin Robbins,0,300,1,Rs.,2.9,9,975,360
18383432,HoG - House of Goodies,0,350,1,Rs.,0.0,3,916,351
18312607,Cafe Coffee Day,0,450,1,Rs.,3.0,4,975,351
18180081,Let's Tango,0,400,1,Rs.,3.0,5,975,351
18336220,Da Pizza Corner,0,600,2,Rs.,2.9,4,975,351
304230,Pastry Palace,0,500,2,Rs.,0.0,2,916,351
18261052,The Pirates Of China Town,0,350,1,Rs.,0.0,3,916,351
306247,Subway,0,500,2,Rs.,2.8,87,975,360
5267,South Cafe,0,350,1,Rs.,3.5,95,243,351
18335682,Lost in Frost,0,600,2,Rs.,3.7,18,243,360
310259,Sri Balaji,0,300,1,Rs.,3.5,65,243,360
18359259,Havmor Ice Cream,0,200,1,Rs.,3.6,30,243,360
18430873,Potet,0,300,1,Rs.,3.7,23,243,351
3156,Giani,0,400,1,Rs.,3.3,65,975,360
18440414,Root'd,0,1000,3,Rs.,3.7,18,243,392
18449796,Big Fat Sandwich,0,800,2,Rs.,2.9,21,975,351
313482,Captain Grub,0,1000,3,Rs.,3.3,61,975,360
306658,Riyaz Chicken Corner,0,250,1,Rs.,3.4,74,975,351
9640,Essex Collections Patisserie,0,300,1,Rs.,3.4,50,975,351
305040,Uncle's Kabab Point,0,350,1,Rs.,3.4,59,975,360
18471243,Blue Tokai Coffee Roasters,0,350,1,Rs.,3.3,10,975,351
18423871,Food Refill,0,300,1,Rs.,3.1,23,975,360
303170,Rapti Chinese Food,0,500,2,Rs.,3.2,35,975,360
305736,Cafe Coffee Day,0,450,1,Rs.,3.5,35,243,351
309593,Momos House,0,350,1,Rs.,3.3,32,975,360
300564,Sharda Pastry Shop,0,150,1,Rs.,2.8,25,975,351
5897,34 Parkstreet Lane,0,250,1,Rs.,3.2,27,975,351
18382353,DEL - Roseate House,0,3000,4,Rs.,3.6,30,243,392
307436,Viva Deli - Holiday Inn,0,1000,3,Rs.,3.3,30,975,351
306815,Slounge - Lemon Tree Premier,0,1000,3,Rs.,3.5,26,243,392
307383,Clever Fox Cafe,0,900,2,Rs.,3.2,26,975,392
18408062,Stallion - Pride Plaza Hotel,0,2500,4,Rs.,3.1,7,975,392
18316173,Subway,0,500,2,Rs.,3.1,25,975,360
18258757,Bella Italia,0,550,2,Rs.,3.2,33,975,351
18306524,Biryani Blues,0,1000,3,Rs.,3.6,22,243,351
18337772,Street Foods by Punjab Grill,0,600,2,Rs.,3.2,17,975,351
18463962,Roasted - Roseate,0,1000,3,Rs.,0.0,3,916,392
9709,Bonitos - The Uppal,0,3000,4,Rs.,3.2,28,975,392
306251,Oval Bar - JW Marriott New Delhi,0,4500,4,Rs.,3.3,15,975,392
18336491,Wow! Momo,0,350,1,Rs.,3.1,8,975,351
18384123,Keventers,0,400,1,Rs.,3.2,6,975,351
18425766,Chidya Ghar - Roseate House,0,3700,4,Rs.,2.9,4,975,351
18415376,GoGourmet,0,600,2,Rs.,0.0,3,916,360
18439530,Foodhall,0,700,2,Rs.,0.0,3,916,351
310032,The Hub -  ibis New Delhi,0,1500,3,Rs.,3.1,9,975,392
18429396,Juniper Bar - Andaz Delhi,0,1500,3,Rs.,3.0,4,975,392
18384135,Keventers,0,400,1,Rs.,3.1,5,975,351
771,Krips Restaurant,0,1000,3,Rs.,3.5,193,243,320
4234,Eggspectation - Jaypee Vasant Continental,0,3000,4,Rs.,3.6,162,243,392
7352,Domino's Pizza,0,700,2,Rs.,3.3,90,975,351
5879,Mezbaan Restaurant,0,600,2,Rs.,3.4,135,975,360
7391,Costa Coffee,0,600,2,Rs.,3.6,80,243,351
3269,RPM,0,1800,3,Rs.,2.4,92,737,392
4501,Paatra - Jaypee Vasant Continental,0,2500,4,Rs.,3.5,79,243,392
2870,Hasty Tasty,0,400,1,Rs.,3.3,86,975,351
18383522,Dezertfox,0,550,2,Rs.,3.7,21,243,360
311451,Subway,0,500,2,Rs.,3.4,78,975,360
4621,Sugar & Spice - Le Marche,0,800,2,Rs.,3.0,67,975,351
300268,Vedanta's,0,650,2,Rs.,2.7,66,975,351
4499,Ano Tai - Jaypee Vasant Continental,0,2500,4,Rs.,3.4,64,975,392
535,Barista,0,650,2,Rs.,3.3,47,975,360
18247024,Spice Deli,0,1100,3,Rs.,3.3,52,975,320
310328,Asian Chopstick,0,400,1,Rs.,3.5,27,243,351
300275,Anupam Restaurant,0,500,2,Rs.,2.3,32,737,360
300262,Uncle Tom's Steamed Hot Dogs,0,200,1,Rs.,3.3,40,975,351
7240,Take Away,0,400,1,Rs.,2.9,20,975,351
2122,Chinese Hut,0,400,1,Rs.,3.4,20,975,351
3493,Dawat,0,450,1,Rs.,2.9,49,975,351
3494,Hot Chimney,0,850,2,Rs.,2.5,55,975,392
301654,Peshawari Restaurant,0,700,2,Rs.,3.1,55,975,351
307692,Granma's Homemade,0,200,1,Rs.,3.6,25,243,351
307694,Wild Willy,0,500,2,Rs.,3.2,19,975,351
18438416,CJ's Fresh,0,1000,3,Rs.,3.8,25,243,360
313280,Bhane,0,300,1,Rs.,3.6,26,243,351
18279453,Celeste,0,500,2,Rs.,3.5,14,243,351
18245249,M.D. Kitchen,0,600,2,Rs.,2.6,30,975,360
307693,Oriental Lee,0,500,2,Rs.,2.7,19,975,351
1917,Gopala,0,250,1,Rs.,3.3,25,975,351
18027962,Establishment Ristorante,0,400,1,Rs.,3.1,12,975,351
9316,Bangla Sweet Corner,0,400,1,Rs.,2.6,32,975,351
1407,Ganesha Sweets & Restaurant,0,500,2,Rs.,2.6,26,975,351
307695,Golooji's Chat Waat,0,400,1,Rs.,3.3,13,975,351
3497,Green Chick Chop,0,350,1,Rs.,2.9,12,975,351
18472648,Eywa by Saby @ Celeste,0,1000,3,Rs.,0.0,2,916,392
18346857,Lodhi Knights,0,200,1,Rs.,3.1,8,975,351
18222557,Icon,0,1000,3,Rs.,3.2,18,975,392
18436483,Baked and Wrapped,0,500,2,Rs.,3.1,5,975,351
310305,China Hut,0,400,1,Rs.,3.0,16,975,360
18337922,Cake Me Up,0,400,1,Rs.,3.1,7,975,351
7892,Modi Pastry Corner,0,100,1,Rs.,2.6,17,975,351
18322676,Giani's,0,400,1,Rs.,3.1,9,975,351
310101,Pakeeza Burger,0,600,2,Rs.,2.6,15,975,351
7891,Aggarwal Sweet India,0,150,1,Rs.,2.8,15,975,351
18313115,Kadimi Dukan,0,200,1,Rs.,3.2,10,975,351
3681,Nikku Hotel,0,500,2,Rs.,2.6,9,975,360
308488,Green Chick Chop,0,350,1,Rs.,3.1,15,975,351
310469,Republic of Chicken,0,400,1,Rs.,2.8,5,975,351
18355110,Curries & Kebabs,0,500,2,Rs.,2.7,7,975,360
18243438,Chaap Express,0,300,1,Rs.,0.0,2,916,351
9568,New Evergreen Hotel,0,450,1,Rs.,2.9,7,975,351
18357554,Bhashi Caterers,0,600,2,Rs.,0.0,3,916,360
18025100,Chinese Hut,0,450,1,Rs.,2.8,5,975,360
18357562,Chawla Snacks,0,250,1,Rs.,2.9,4,975,351
18453186,Sanjha Chulha,0,700,2,Rs.,0.0,1,916,392
18025096,Subhash Punjabi Family Dhaba,0,350,1,Rs.,0.0,1,916,360
18354663,Sardar A Pure Meat Shop,0,300,1,Rs.,0.0,3,916,351
310468,The Biryani Hut,0,400,1,Rs.,2.9,5,975,351
3635,New Shere Punjab Dhaba,0,600,2,Rs.,3.6,91,243,351
309737,Big Dragon,0,800,2,Rs.,3.6,108,243,392
1866,Shiv Dhaba,0,550,2,Rs.,3.1,92,975,351
9776,Mehak Food Corner,0,350,1,Rs.,3.2,87,975,351
3634,Roll Club,0,250,1,Rs.,3.3,91,975,351
309238,Crispy Tokri,0,200,1,Rs.,3.1,100,975,351
3054,Gopal's 56,0,200,1,Rs.,3.8,71,243,351
307951,Just Vada Pav,0,150,1,Rs.,3.6,94,243,351
3610,Giani's,0,400,1,Rs.,3.5,80,243,360
305293,Uncle Xpress,0,400,1,Rs.,3.4,80,975,360
302892,Heaven's Kitchen,0,500,2,Rs.,3.3,85,975,360
309338,Chowki,0,750,2,Rs.,3.7,89,243,360
18372686,FreshMenu,0,600,2,Rs.,3.6,36,243,360
7382,Shameem Kabab Corner,0,700,2,Rs.,3.3,67,975,351
18245255,Mr. Sub,0,400,1,Rs.,3.2,57,975,360
8949,Prince of China,0,800,2,Rs.,3.1,70,975,360
302898,Punjabi Corner,0,250,1,Rs.,3.3,55,975,360
9654,Sant Sweets,0,250,1,Rs.,3.5,60,243,351
18322653,Punjabi Xpress,0,400,1,Rs.,2.3,9,737,360
306957,Big Chow Xpress,0,550,2,Rs.,2.6,58,975,360
813,China Fare,0,1000,3,Rs.,3.7,243,243,351
3425,Latitude 28,0,2000,4,Rs.,3.8,203,243,392
304628,Prabhu Chaat Bhandar,0,150,1,Rs.,3.2,242,975,351
18221038,Parallel,0,2000,4,Rs.,4.0,79,932,392
