id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
308570,"Shop 15, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4955391,77.0889781,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
2144,"Ground Floor, Vatika Triangle, Sushant Lok 1, Behind DT City Center, MG Road, Gurgaon",MG Road,Gurgaon,28.4775699,77.0811126,0,1,"MG Road, Gurgaon",1
306132,"9, Ground Floor, Cyber Hub, Opposite Gateway Towers, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4952079,77.0886879,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
305478,"K-3A, Cyber Hub, Phase 2, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4951674,77.0887329,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
306128,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4951096,77.088598,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
306142,"K-5, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4952251,77.0888677,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
3213,"3rd Floor, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road",Gurgaon,28.4805322,77.0801711,,1,"MGF Metropolitan Mall, MG Road, Gurgaon",1
306001,"Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4956457,77.0891982,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
18372311,"DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.492698,77.094031,,1,"DLF Phase 3, Gurgaon",1
308673,"U-8/26, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4934335,77.0935436,,1,"DLF Phase 3, Gurgaon",1
301278,"U-16/24, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4914786,77.0937234,,1,"DLF Phase 3, Gurgaon",1
18450609,"Inside DLF Phase 3 Rapid Metro Station, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4934335,77.0935436,,1,"DLF Phase 3, Gurgaon",1
306858,"U-2/42, Opposite Central Bank ATM, DLF Phase 3, Gurgaon",DLF Phase 3,Gurgaon,28.4911838,77.0934537,,1,"DLF Phase 3, Gurgaon",1
